subject, fuzzer, trial, total, tte, crashes
file_magic_fuzzer, aflchurn_noaco, trial-753886, 82790, 51,  5
file_magic_fuzzer, aflchurn_noaco, trial-753893, 82794, 491,  4
file_magic_fuzzer, aflchurn_noaco, trial-753891, 82797, 496,  5
file_magic_fuzzer, aflchurn_noaco, trial-753889, 82740, 643,  5
file_magic_fuzzer, aflchurn_noaco, trial-753895, 82798, 512,  5
file_magic_fuzzer, aflchurn_noaco, trial-753884, 82796, 566,  4
file_magic_fuzzer, aflchurn_noaco, trial-753894, 82795, 486,  5
file_magic_fuzzer, aflchurn_noaco, trial-753885, 82763, 526,  5
file_magic_fuzzer, aflchurn_noaco, trial-753890, 82797, 281,  5
file_magic_fuzzer, aflchurn_noaco, trial-753892, 82798, 644,  6
file_magic_fuzzer, aflchurn_noaco, trial-753888, 82793, 598,  5
file_magic_fuzzer, aflchurn_noaco, trial-753887, 82791, 668,  3
file_magic_fuzzer, aflchurn_noaco, trial-753900, 82796, 179,  5
file_magic_fuzzer, aflchurn_noaco, trial-753899, 82797, 439,  4
file_magic_fuzzer, aflchurn_noaco, trial-753897, 82792, 731,  4
file_magic_fuzzer, aflchurn_noaco, trial-753898, 53107, 450,  4
file_magic_fuzzer, aflchurn_noaco, trial-763041, 80109, 988,  5
